id_product,product_name,description
1,Aerie Everyday Loves Lace Cheeky,"Introducing Everyday Loves™: Made with love. Everyday, loves: Listen to your heart. Get comfy. Be Happy. Your go-to fave has more cheek peek & a whole lot of WOW. style: 1775-5973 | color: 153 Soft lace with the right amount of stretch Aerie undies: your panty drawer just got REAL! Low rise More cheek peek 97% Nylon, 3% Spandex Machine Wash Imported read more read less"
2,Aerie Lace Hi-Rise Boybrief,"Laced with love and extra comfort. No cheek peek, a hi-rise and our Everyday Loves Lace. Not your granny's panties. style: 1779-6296 | color: 073 Soft lace with the right amount of stretch Higher rise for extra comfort No cheek peek Aerie undies: Your panty drawer just got REAL. 97% Nylon, 3% Elastane Machine Wash Imported read more read less"
3,Aerie Boybrief,"It all started with a boybrief: our original fit! It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6441-1499 | color: 184 Comfy, stretchy cotton Aerie undies: your panty drawer just got REAL! Everyday Loves Collection Binding at waist and leg openings We call them favorites for a reason Low rise 93% Cotton, 7% Spandex Machine Wash Imported read more read less"
4,Aerie Seamless Thong,"Total cheek! Smooth: No seams. All comfort. Real comfy. style: 5444-5448 | color: 496 Smooth seamless fabric Aerie undies: Your panty drawer just got REAL. Low rise Total cheek! 93% Nylon, 7% Elastane Machine Wash Imported read more read less"
5,Aerie Shine Bikini + Boho Lace,"Shine on. A peek of cheek meets peace, love and lace. style: 5774-6109 | color: 199 Smooth shine fabric + Boho lace Aerie undies: Your panty drawer just got REAL! Boho lace waistband Pretty bow at front Lace at leg openings Low rise A peek of cheek 85% Nylon, 15% Elastane Machine Wash Imported read more read less"
6,Aerie Boybrief,"We'll keep this brief. It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6441-5363 | color: 184 Comfy, stretchy cotton Aerie undies: your panty drawer just got REAL! Wide lace waistband Lace-trimmed leg openings We call them favorites for a reason Low rise 93% Cotton, 7% Spandex Machine Wash Imported read more read less"
7,Aerie Lace Back String Thong,"NO PANTS PARTY! Gettin’ stringy with it… style: 5441-5133 | color: 030 Comfy, stretchy cotton Low rise Total cheek! String side detail & lace back Pretty bows at straps Panties, underwear, lingerie… Get real. It’s all undies for us! Everyday Loves Collection 95% Cotton, 5% Spandex Machine Wash Imported read more read less"
8,Aerie Bikini,"Introducing Everyday Loves™: Made with love. Everyday, loves: Listen to your heart. Get comfy. Be Happy. Your go-to fave has just a peek of cheek & a whole lot of WOW. style: 0442-5357 | color: 184 Comfy, stretchy cotton Panties, underwear, lingerie… Get real. It’s all undies for us! Pretty bow at waistband Lace waist & leg openings Low rise A peek of cheek 95% Cotton, 5% Spandex Machine Wash Imported read more read less"
9,Aerie Hi-Leg Bikini,"New! Hi-leg fit. Your go-to fave with a peek of cheek, updated with a new hi-leg fit for a lot of WOW! style: 6447-5511 | color: 073 Comfy, stretchy cotton Hits higher on the waist A peek of cheek Hi-leg Elastic waistband 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
10,Aerie Thong,"Total cheek! The soft and comfy cotton you love in the fit you go to. style: 5442-5435 | color: 633 Comfy cotton Low rise Total cheek! Wide lace waistband Pretty bow at front Lace at leg openings Aerie undies: Your panty drawer just got REAL! 95% Cotton, 5% Elastane Imported read more read less"
11,Aerie String Bikini,"Sweet on strings. Your go-to fave has just a peek of cheek & a whole lot of WOW. style: 0442-5117 | color: 030 Comfy, stretchy cotton Low rise No cheek peek Pretty bows at front Everyday Loves Collection 95% Cotton, 5% Spandex Machine Wash Imported read more read less"
12,Aerie Logo Boybrief,"Our #1 fit. It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6443-5100 | color: 426 Comfy, stretchy cotton Low rise Logo elastic waistband Aerie undies: Your panty drawer just got REAL. 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
13,Aerie Boybrief,"We'll keep this brief. It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6441-5125 | color: 062 Comfy, stretchy cotton Aerie undies: your panty drawer just got REAL! Everyday Loves Collection Pretty bow at front Binding at waist & leg openings We call them favorites for a reason Low rise 95% Cotton, 5% Spandex Machine Wash Imported read more read less"
14,Aerie Boybrief,"Our #1 fit. It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6443-4801 | color: 466 Comfy, stretchy cotton Low rise No cheek peek Binding at waist & leg openings Pretty bow at front Aerie undies: Your panty drawer just got REAL. 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
15,Aerie Boyshort,"No. 1 on our short list for a no pants party! style: 8441-5342 | color: 030 Comfy, stretchy cotton Undies: the REAL way to say panties. Everyday Loves Collection Straight cut around leg Wide lace waistband We call them favorites for a reason Low rise No cheek peek 95% Cotton, 5% Spandex Machine Wash Imported read more read less"
16,Aerie Boybrief,"Our #1 fit. The soft and comfy cotton you love in the fit you go to. style: 6443-5402 | color: 092 Comfy, stretchy cotton Aerie undies: Your panty drawer just got REAL. V-back detail Low rise No cheek peek 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
17,Aerie Sunnie Colorblock Boybrief,"We're serious about soft. The Real Soft® fabric you love in our no. 1 fit. style: 1773-6081 | color: 410 Real Soft® fabric Low rise No cheek peek Aerie undies: Your panty drawer just got REAL. 72% Nylon, 28% Spandex Machine Wash Imported read more read less"
18,Aerie Cheeky,"More cheek peek for extra WOW! The soft and comfy cotton you love in the fit you go to. style: 7442-5401 | color: 651 Comfy, stretchy cotton Aerie undies: Your panty drawer just got REAL. V-back detail Low rise More cheek peek 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
19,Aerie Logo Boybrief,"Better than the boys’… It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6441-5100 | color: 073 Comfy, stretchy cotton Signature logo waistband We call them favorites for a reason Undies: the REAL way to say panties. Low rise 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
