id_product,product_name,description
1,Silky 20” A-line Half Slip with Lace,"Hanky Panky Silky is the ideal fabric for underpinnings. Made from a naturally hydrophilic filament rayon Lycra® spandex blend, it resists generating static, as compared to synthetic fibers."
2,Peek-a-Boo Side Tie Bikini,"Don't go on your honeymoon without this pretty, playful and ultra-sexy panty!"
3,All Tied Up Tie Front Bralette,All Tied Up in ribbons and lace.
4,30 Pack Original Rise Thongs in Lucite Jar,For the ultimate Hanky Panky collector! This limited edition jar opens to 30 of your favorite original rise signature lace thongs. Perfect for gifting or treating yourself!
5,3 Pack Exclusive Low Rise Thongs,Exclusively ours. Three thongs in one little package and tied with a bow. 
6,Heather Jersey Chemise,Stay cozy in Heather.
7,Leopard BARE Basic Cami,Spot on style.
8,Rolled Cross-Dyed Original Rise Thong,Scalloped lace and color contrast make this delicate thong a true beauty.
9,Phoebe Dotted Tulle Chemise,Sheer romance.
10,5 Pack Low Rise Thongs,Everyday savings on your favorite thongs.
11,Signature Lace Betty Brief,This super-comfy brief is our flirty version of “granny panties.”
12,Lace Up Bodysuit,All tied-up.
13,Bellisima Boyshort,A floral beauty.
14,Capri Bloom Classic Cami,Island hopping.
15,Striped Low Rise Thong & Organic Cotton Socks,Our latest collaboration!  Match set of our Chalk Stripe Low Rise Thong and a pair of Z'kano Organic Cotton Striped Crew Socks.
16,Strapped Cheeky Hipster,Strap yourself in for a wild ride.
17,Organic Cotton *Plus Size* Crop Top,"Versatile cropped cami-bralette in our lightweight stretch jersey made from ultra-premium Supima® cotton, organically-grown in the USA, blended with a touch of spandex for a perfect fit."
18,Rolled Signature Lace Boyshort,A must-have for every woman's lingerie drawer.
19,Organic Cotton Boyshort with Lace,Our Hanky Panky boyshort in Organic Cotton.
20,*Plus Size* Rosalyn Chemise,"Say ""I Do"" to our Rosalyn Chemise."
21,Anna Full-Back Bodysuit,"Our newest active-inspired collection can take you from barre to brunch, and everywhere in-between."
22,Silky 32” Fitted Slip with Lace,"Hanky Panky Silky is the ideal fabric for underpinnings. Made from a naturally hydrophilic filament rayon Lycra® spandex blend, it resists generating static, as compared to synthetic fibers."
23,Chiffon Ruffle Bralette,Ruffle your feathers. 
24,3 Pack Low Rise Thongs,"A coordinating three pack of our Low Rise Thongs, perfect for gifting!"
25,Anna Hipster,"Our newest active-inspired collection can take you from barre to brunch, and everywhere in-between."
26,Vintage Embroidered Silk Triangle Bralette,From the Archives: We found a cache of vintage hand-embrodiered silk damask to remake- a limited edition of bralettes & bikini panties just in time for our 40th anniversary. Only at HankyPanky.com
27,Sophisticat *Plus Size* Retro Thong,The Essential Leopard Print
28,Floral Chiffon Babydoll with G-String,Floral whimsy.
29,Alexandra Lace Robe,For the love of lace.
30,Leopard Nouveau Retro V-kini,Spotted: Our lovely Leopard Nouveau Print in Retro styles!
31,Sand Art V-Front Boyshort,Life’s a beach. 
32,Cat Island Brazilian Bikini,Pounce on our new leopard print.
33,3 Pack Original Rise Thongs,"A coordinating three pack of our Original Rise Thongs, perfect for gifting!"
34,Signature Lace Short Sleeve Bodysuit,Work your body in this lacy layering piece.
35,Organic Cotton V-kini with Lace,Our classic V-kini in Organic Cotton is a must-have.
36,Mesh Bow Low Rise Thong,Sweet and sheer.
37,Sand Art Crossover Bralette,Life’s a beach.
38,Leopard Nouveau *Petite Size* Low Rise Thong,You'll want to be spotted in Leopard Nouveau.
