id_product,product_name,description
1,MATERNITY Criss Cross Knickers,"These feminine black knickers for maternity features a criss cross detailing that adds a stylish hint to your under layer. Pair with the matching criss cross bra for a polished co-ord. 78% Polyamide, 22% Elastane. Machine wash."
2,Floral Lace Triangle Bra,"In an appealing burnt orange tint, this low rise floral lace thong and matching non-padded triangle bra will add colour to your lingerie draw. 90% Polyamide, 10% Elastane. Machine wash."
3,Floral Lace Thong,"In an appealing burnt orange tint, this low rise floral lace thong and matching non-padded triangle bra will add colour to your lingerie draw. 90% Polyamide, 10% Elastane. Machine wash."
4,Mesh French Knickers,"Indulge your playful side with these sheer mesh french knickers, complete with a lace trim. A flattering cut at the back makes these the perfect pants for any occasion. 88% Polyester, 12% Elastane. Machine wash."
5,Floral Lace Thong,"Keep slinky silhouettes seam-free with this lace thong underneath. A semi-sheer style with a low rise waist. 89% Polyamide, 11% Elastane. Machine wash."
6,Embroidered Bralet,"Fall in love with this elegant black bralet complete with gorgeous floral lace embroidery. Styled with strap detail at the front, underwired cups and adjustable straps, it's finished with multiple hook and eye fastenings. 84% Polyamide, 16% Elastane. Machine wash."
7,Padded Lace Triangle Bra,"In a dark nude shade, this elegant padded lace triangle bra boasts a contrast waistband, racerback and adjustable straps. 89% Nylon, 11% Elastane. Machine wash."
8,Lace Thong,"Bubblegum pink lace thong. 89% Nylon, 11% Elastane. Machine wash."
9,Branded Jersey Crop Top,"This simple black lingerie set features a branded jersey crop top and matching jersey mini knickers. 93% Cotton, 7% Elastane. Machine wash."
10,Branded Jersey Mini Knickers,"This simple black lingerie set features a branded jersey crop top and matching jersey mini knickers. 93% Cotton, 7% Elastane. Machine wash."
11,V-Back Mesh Insert Bra by Ivy Park,"This bra top comes designed with a sheer mesh panel to the back for ventilation, while a power mesh lining and flat-locked contour seam provide a supportive and streamlined shape. Crafted for performance, the technical make ensures a quick drying and durable finish. Finished with a statement Ivy Park logo to the chest it can be worn alone or layered underneath one of our signature tanks. By Ivy Park. 92% Polyester, 8% Elastane. Machine wash. Model's height is 5' 9"""
12,Branded Jersey Crop Bra,"Pink jersey cropped bra with black perforated branded underband detail. 95% Cotton, 5% Elastane. Machine wash."
13,Triangle Bra,"Teal triangle bra with geometric lace. 87% Nylon, 13% Elastane. Machine wash."
14,Embroidered Mini Knickers,"In a black mesh design, these flattering mini knickers come in a pretty embroidered floral design. 86% Polyamide, 14% Elastane. Machine wash."
15,Colour Block Cross Back Bra by Ivy Park,"In a striking colour-block design with a tonal logo waistband, this Ivy Park sports bra is so good your can wear it as outerwear. This mid-impact style is made from breathable, quick-drying fabric that wicks sweat away from the body - you'll feel fresh and comfortable throughout your workout. It's complete with a power mesh lining, crossover straps and open back detail. 79% Polyester, 21% Elastane. Machine wash."
16,Lace Triangle Bra,"Add a colour pop to your underwear drawer with this chartreuse lace triangle bra with charcoal contrast waistband. Complete the look with the matching knickers. 85% Nylon, 15% Elastane. Machine wash."
17,Cotton Triangle Bra,A set of flattering white cotton tanga mini knickers and matching frilly bra set. 100% Cotton. Machine wash.
18,Cotton Tanga Mini Knickers,A set of flattering white cotton tanga mini knickers and matching frilly bra set. 100% Cotton. Machine wash.
19,ELLE Bralet,"Bralet and knickers set. 96% Polyester, 4% Elastane. Machine wash."
20,Satin High Waisted Knickers,"Bralet and knickers set. 96% Polyester, 4% Elastane. Machine wash."
21,Sporty Branded Bra,"Add a sporty feel to your lingerie collection with this comfy bra and thong duo. Each piece features subtle 'Topshop' branding. 49% Polyamide, 39% Polyester, 12% Elastane. Machine wash."
22,Sporty Branded Thong,"Add a sporty feel to your lingerie collection with this comfy bra and thong duo. Each piece features subtle 'Topshop' branding. 49% Polyamide, 39% Polyester, 12% Elastane. Machine wash."
23,Lace Balcony Bra,"Aqua lace balcony bra. 89% Nylon, 11% Elastane. Machine wash."
24,Bralet by Tommy Hilfiger,"Look to an iconic brand to elevate your under layers. These navy blue knickers by Tommy Hilfiger feature the label’s iconic branding to the underband. Matches with knickers. 94% Cotton, 6% Elastane. Machine wash."
25,Floral Mini Knickers,"Cream mixed floral mini knickers. 93% Polyamide, 7% Elastane. Machine wash."
26,Lace Plunge Bra,"This elegant black plunge bra has been prettified with a gorgeous lace overlay. It features underwired cups, adjustable straps and hook and eye fastenings at the back. 89% Polyamide, 11% Elastane. Machine wash."
27,Lacey Microfibre Ladypant,Low rise ladypant in smooth microfibre with lace trim. Machine wash.
28,Floral Microfibre Knickers,"These microfibre knickers come in a pastel floral print with elegant lace trims and a cute pink bow applique at the front. 89% Polyamide, 11% Elastane. Machine wash."
29,Embroidered Mesh Triangle Bra,"In a black mesh design, this flattering triangle bra come in a pretty embroidered floral design. 84% Polyamide, 16% Elastane. Machine wash."
30,Sporty Lace Triangle Bra,"You don't have to be a fitness addict to love this magenta lace triangle bra with its sporty under band. Feminine and flirty, now you can embrace the sports-luxe trend in every layer. Team with the matching knicker for a stylish set. 86% Polyamide, 14% Elastane. Machine wash."
31,'Topshop' Logo Seamless Thong,"Keep things simple and stylish in this comfortable lilac seamless thong with 'Topshop' logo. Co-ord available. 85% Polyamide, 13% Polyester, 2% Elastane. Machine wash."
32,**MATERNITY Lace and Mesh Nursing Bra,"Add a fresh, feminine touch to your lingerie with this lace and mesh detail bra. With a classic hook fastening at the back and adjustable straps. Designed to wear through pregnancy and beyond . 90% Polyamide, 10% Elastane. Machine wash."
33,Lace Mini Knickers,"Burnt orange lace balcony bra and knickers set. 89% Nylon, 11% Elastane. Machine wash."
34,Popper Rib Thong Bodysuit,"In a deep navy shade, this popper ribbed thong bodysuit is a daring look. 94% Viscose, 6% Elastane. Machine wash."
35,'Topshop' Logo Seamless Bra,"Black 'Topshop' logo seamless bra and thong set. 85% Polyamide, 13% Polyester, 2 % Elastane. Machine wash."
36,Fishnet Bodysuit,"Wear your underwear as outerwear with our edgy fishnet bodysuit. Great for teaming with high-waisted skirts and shorts, this sheer black sleeveless style features a scoop neckline, a solid insert of fabric on the chest and a subtle cutaway detail. 89% Polyester, 11% Elastane. Machine wash."
